# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
17/10/2020,17871.8,18964.4,19140,,18482.5,18497.6,18971.7,18382.4,18313.2,19814.7,21230.3,22172.6,22531,22660.9,21792.2,21422.5,21051.7,19973.1,20249.1,21315.9,21629.4,19757.2,18688.9,19994,21173.1,484080.2
16/10/2020,17770.1,18763.4,18925.6,,18334,18415.2,17783.4,19465.2,22270.1,23016.7,23329.7,24574.6,25548,24961.4,25305.1,24702.8,24672.8,24304.2,23568.3,24695,23410,21942.7,20248.9,18383.1,17258,521648.3
15/10/2020,19475.1,19409.4,19895,,19358,18748.9,18763,19751.8,22654.7,21795,21443,21336.6,21974.1,21817.7,21980,21874.1,21753.3,22196.6,22330.9,22916.2,22865.4,22578.4,21306.1,19227.8,17719.2,503170.3
14/10/2020,18551.1,18956.7,19280.1,,19261.2,18925,18460,21028.6,22801.9,22018,22161.9,23184.3,24974.6,25287.6,25250.7,24573,24295.2,24034.5,23520.6,23748.1,23442,23621.1,21919.8,19818,20429.8,529543.8
13/10/2020,20297.6,20770.8,21554.7,,21056.9,20983.1,19805.9,21366.7,23974.6,24263.3,24694.1,25308,26208.1,26907.7,26266.9,25683.7,25064.1,24081.9,22822.7,22834.7,22856.7,22738.8,20559.6,20138.6,19069.8,549309
12/10/2020,17794.9,18740.7,19366.8,,19342.7,19214.1,17850.9,19836.3,22417.7,22643.4,23751.2,23889.4,25102.3,25659,25774.4,25718.5,24880.9,25504.1,24779.7,24835.6,24478.1,24399.3,22715.7,20920.8,19603.6,539220.1
11/10/2020,23337.5,24024.7,23611.8,,24038,23970.4,23536.3,22883.2,21783.8,21571.9,23247,25498,27113.3,28070.1,26259.6,25163.5,24109.4,23198,22400.3,23881.3,24123.8,22630.9,21827.3,21154.6,21511.9,568946.6
10/10/2020,22058.6,22471.4,21780.1,,22326.9,22173,22363.2,21816,22206.8,22490.8,24569.1,25631.8,27343.3,27443.2,27722.8,27882.8,26247.9,24035.4,23885.7,24206.3,24915.5,24241.9,23608.3,23626.8,24602.8,579650.4
09/10/2020,22570.7,21998.6,20565.2,,18673.8,18179.6,18288.9,21407.1,23994.6,23316.5,23568.7,24022.2,23959,24131.8,24447.8,24144,23399.9,23773.8,23158.6,23736,23933.6,24360.5,22787.9,20036.7,19502.6,537958.1
08/10/2020,22140.1,22755,23037.7,,23230.7,23295.6,22588.7,23119.9,25853.3,23918.1,24322.7,24215,25500.9,26330.3,26289.7,26468.7,26476.7,25589.5,26268.6,27089.9,26992.3,28347.5,25522.2,24329.2,25293.5,598975.8
07/10/2020,21276,22114.7,23715.9,,23753.3,23898.5,22587.7,22942.3,25101.8,23900.8,24181.4,24685.4,24885.8,24951.2,24553.8,24915.2,24595.6,24089.4,23777.2,24838.5,24773.8,24890.8,23195.7,21891.4,21332.2,570848.4
06/10/2020,21489.8,22845.3,23154.6,,22948.3,23226.9,22182.8,21679.6,23439.4,22751.9,23114.6,23023.1,23621.2,23709.3,23552.9,23731.5,24251.5,24237.7,23784.7,24407.8,24352.9,22886.5,22044.9,21221.7,20614.4,552273.3
